system:index,DEM_slope,L4,NDMI_max,NDMI_mean,NDMI_min,NDMI_slope,NDMI_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_slope,NDVI_stdDev,Relative_elevation_100,TCB_max,TCB_mean,TCB_min,TCB_slope,TCB_stdDev,TCG_max,TCG_mean,TCG_min,TCG_slope,TCG_stdDev,TCW_max,TCW_mean,TCW_min,TCW_slope,TCW_stdDev,.geo
00000000000000000577_0,0.099633925,1,0.9128065,0.5838753,0.2881356,-2235.9402014494335,0.16680876675582287,-0.038961038,-0.37398994,-0.7307692,-457.80064643592164,0.15612702423773142,16.252728,0.14825869,0.08606736,0.05247504,-235.09995415083793,0.025025554623750477,-0.0132922,-0.03185452,-0.06267866,59.413498263265055,0.008997160093652196,0.041680507,0.016575541,0.0027874021,-106.37229338836488,0.007514629846685563,
00000000000000000578_0,0.33512124,1,0.84931505,0.46021685,0.0882353,-1552.7354863764463,0.18726683010353407,-0.023319615,-0.4182651,-0.87401575,-613.909000981292,0.19895075453860872,3.7611024,0.22047673,0.08820679,0.03898773,-165.23870853459684,0.033424902810686476,-0.01346538,-0.035536245,-0.06062516,17.26490478178136,0.010974466038435752,0.029308677,0.013892938,-0.0024937575,-19.756309511497715,0.007859212265339772,
0000000000000000057d_0,0.036355168,1,0.8658892,0.5797562,0.18090452,-1729.111397266032,0.195184534856266,0.021671826,-0.32095262,-0.7001209,-628.6793245466205,0.1763391290301732,10.617693,0.24653175,0.09129205,0.03648349,-141.9980010855025,0.04809101448071986,-0.00966391,-0.033076633,-0.11433474,8.259550421249461,0.018163290353226128,0.058291625,0.016013458,-0.02726535,-22.715026099385064,0.01290249323637787,
0000000000000000057e_0,0.13875079,1,0.89701897,0.5707413,0.1590909,-1320.619366196888,0.18976142365019374,0.024886878,-0.40533704,-0.65206814,-42.82902357750472,0.16239021865366346,5.231719,0.16031007,0.081979446,0.04639259,2.0393596821032776,0.021162320203764066,-0.00840232,-0.033286322,-0.05287288,12.518364762662788,0.009401403935847239,0.044397432,0.015450231,-0.003534367,-5.767240582404659,0.007684196188225363,
00000000000000000581_0,0.11649132,1,0.94622546,0.456084,0.010526316,-533.420548426686,0.2296196870399844,-0.06097561,-0.42927572,-0.71142286,24.141868647671753,0.16898633350407263,9.349377,0.40695226,0.09126278,0.00181902,-231.0761759011799,0.058322422926095796,-0.00838349,-0.038793873,-0.10016944,79.01308276047202,0.015277351280624095,0.07255561,0.013341031,-0.10071783,-40.64843822599533,0.01694762979971137,
00000000000000000583_0,0.25270346,1,0.8710434,0.49720678,-0.19,-1263.8131971607263,0.21381847321267283,0.17166212,-0.28643766,-0.71956855,-56.87337046682016,0.16464457450159475,8.0005865,0.22215866,0.0811609,0.03280879,20.641810434007784,0.038778581745629974,1.428E-5,-0.028496623,-0.07467311,11.69348887935037,0.014629409728773078,0.047475755,0.01050634,-0.024728982,-24.382701170092304,0.01092876488065378,
0000000000000000058a_0,0.21692298,1,0.9402985,0.3824891,-0.2112676,-856.5336573233081,0.22498885472831873,0.16025642,-0.26354662,-0.7468355,256.9937686343992,0.15815982564474632,22.950266,0.22568373,0.05291745,0.016078,-37.71334998596696,0.028168187136515963,-0.00607966,-0.0182377,-0.04518003,11.874914745709045,0.005453643920327465,0.032061137,0.005704731,-0.004375155,-7.955578586564909,0.004967155589448482,
00000000000000000591_0,0.17644021,1,1.0,0.41150677,-0.05194095,-1222.4478915386471,0.20875840752329627,0.19915701,-0.21478097,-0.70714283,-435.3862685273654,0.1976352089358066,16.916271,0.18001904,0.057798002,0.01725457,105.9204909908641,0.029755119171351208,-0.00178342,-0.017106028,-0.0326416,-34.616747981477026,0.0063422846994307955,0.017231913,0.0034762872,-0.08463108,23.690747037643938,0.01105521025028592,
00000000000000000592_0,0.35183856,1,1.0,0.42708558,-0.051282052,-1037.635894790881,0.19981899977317444,0.116981134,-0.26570666,-0.6701031,158.41572030531526,0.17153996416286518,4.306642,0.18992685,0.05871906,0.020829,32.227178556561604,0.02601597945728728,-0.00440808,-0.01726889,-0.02871268,5.195053381231003,0.005169417124911779,0.015380901,0.0054529193,-0.0653444,-14.629267242534198,0.008669773888226755,
0000000000000000059b_0,0.08998606,1,0.9177215,0.5759278,0.17467248,-892.0071726920594,0.18421765260237788,0.10554562,-0.33710724,-0.6931408,-433.6621673163095,0.16278978641742176,4.743711,0.13790019,0.07896285,0.03031742,4.848566777981927,0.024851351405115633,-0.00628256,-0.027913617,-0.04578524,-31.04550138326573,0.008591498058318518,0.027423585,0.013626937,-0.0115818065,8.086425238694925,0.007716505975053525,
